,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,99,0.9628415288508412,1.268634971693424,4.948242197636971,0,14,27,0.17476353665542574
1,1,99,0.9575514918664356,1.1684752161190566,1.428116687305161,6,15,23,0.17476353665542574
2,2,99,0.8131228550997842,1.1910269371096398,3.956806989993241,8,11,30,0.17476353665542574
3,3,99,0.8085688337244783,1.1110912729053462,1.9057156017851231,7,13,29,0.17476353665542574
4,4,99,0.8085688337244783,1.1237482581085547,3.2225149407294356,7,14,30,0.17476353665542574
5,5,99,0.8085688337244783,1.1284447490081644,5.612161967486615,3,17,25,0.17476353665542574
6,6,99,0.8085688337244783,1.0434351338494527,2.3972260846060522,4,14,24,0.17476353665542574
7,7,99,0.785022210188014,1.0247917492855114,1.935320750262999,6,20,34,0.17476353665542574
8,8,99,0.785022210188014,1.015845993134552,2.9108946094813892,4,11,28,0.17476353665542574
9,9,99,0.785022210188014,0.9657284199405417,2.111579346747498,7,11,29,0.17476353665542574
10,10,99,0.785022210188014,0.9506571667186147,2.948776491513087,4,15,31,0.17476353665542574
11,11,99,0.785022210188014,0.9460234189486861,4.129710852563751,6,20,33,0.17476353665542574
12,12,99,0.7801299811937604,0.9160019440942789,2.413474380005801,5,13,34,0.17476353665542574
13,13,99,0.7025091529841884,0.9578033750051007,2.478104572804976,6,10,37,0.17476353665542574
14,14,99,0.7025091529841884,0.9468171504619035,3.2958993446161826,4,9,30,0.17476353665542574
15,15,99,0.7025091529841884,0.8990000936512911,2.916389136073916,6,16,24,0.17476353665542574
16,16,99,0.6903227428250066,1.0527240854221844,14.821447187049142,8,15,31,0.17476353665542574
17,17,99,0.6903227428250066,0.9305821903303655,2.2726496222469756,5,12,34,0.17476353665542574
18,18,99,0.6903227428250066,0.9449014087326827,5.594389762938287,4,15,29,0.17476353665542574
19,19,99,0.6903227428250066,0.9509244144199581,6.04506567575888,7,13,27,0.17476353665542574
20,20,99,0.6903227428250066,1.0074968356156226,12.343483282824511,11,10,28,0.17476353665542574
21,21,99,0.6903227428250066,0.8716541805095761,2.337955392267353,9,15,33,0.17476353665542574
22,22,99,0.6903227428250066,0.8806144154062446,2.539896037641007,9,13,32,0.17476353665542574
23,23,99,0.6691678346605119,0.8834972461643629,2.313693251882224,4,15,31,0.17476353665542574
24,24,99,0.6691678346605119,1.0146421530425374,12.268579261230778,3,19,28,0.17476353665542574
