,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,99,0.8150486812472788,30232986004.688087,2845003726734.2627,0,11,28,0.39075006389122413
1,1,99,0.7290554767448457,1.0771096375632954,2.4838947044548507,12,6,29,0.39075006389122413
2,2,99,0.7152270037380466,25331927.661845148,2507860749.4555397,16,7,30,0.39075006389122413
3,3,99,0.714416637865234,5762.976794134931,570453.39818588,12,4,32,0.39075006389122413
4,4,99,0.692288748221943,5762.966268387956,570453.0219141066,15,4,26,0.39075006389122413
5,5,99,0.5771266569688793,1669093673.0657506,165240272047.54077,14,5,26,0.39075006389122413
6,6,99,0.5771266569688793,791142909.1833308,78322577411.32283,18,12,31,0.39075006389122413
7,7,99,0.5771266569688793,4.776389297156155,387.83759800288436,8,5,28,0.39075006389122413
8,8,99,0.5771266569688793,4.573529385080468,387.86977413141125,17,7,26,0.39075006389122413
9,9,99,0.5242901796031928,0.7069146219094076,8.458372358718627,19,6,33,0.39075006389122413
10,10,99,0.5161223683916499,0.627251750948448,1.5743906479149261,16,11,26,0.39075006389122413
11,11,99,0.46128146389935293,5762.776112226822,570453.14115791,13,8,23,0.39075006389122413
12,12,99,0.46128146389935293,1960.0144119716354,193597.80137780777,19,6,31,0.39075006389122413
13,13,99,0.46128146389935293,0.5456513209624966,1.2970113293861394,14,6,30,0.39075006389122413
14,14,99,0.41388305308227036,0.558996562563709,1.5488522061441694,7,6,33,0.39075006389122413
15,15,99,0.41163683021323416,4.496995253836252,388.12078342545186,7,11,31,0.39075006389122413
16,16,99,0.41163683021323416,0.5594659204992242,2.3140576117016645,9,7,28,0.39075006389122413
17,17,99,0.41163683021323416,15663.637094366093,1550653.0426081794,10,5,30,0.39075006389122413
18,18,99,0.4116311851407037,1294661646.5673013,128171502958.928,10,9,29,0.39075006389122413
19,19,99,0.41008170971877156,0.4940415786442703,1.0418293864309975,15,8,29,0.39075006389122413
20,20,99,0.4051881751942309,0.5115028953742422,1.3765552574531605,10,7,29,0.39075006389122413
21,21,99,0.40451659839327975,0.44033875266411504,1.0214549194010312,11,5,24,0.39075006389122413
22,22,99,0.4044668435056958,0.5033397638768021,2.6485840432129972,21,6,29,0.39075006389122413
23,23,99,0.4024555136004679,5762.686824545907,570453.2070867621,13,5,27,0.39075006389122413
24,24,99,0.4024555136004679,11524.786239505898,570453.2882130232,16,7,28,0.39075006389122413
25,25,99,0.4015227701352531,0.45510572506996005,1.4263907864038616,18,7,21,0.39075006389122413
26,26,99,0.4015227701352531,25331927.23006065,2507860749.487353,22,4,35,0.39075006389122413
27,27,99,0.4015227701352531,0.9397241381906504,47.28650699708814,10,7,27,0.39075006389122413
28,28,99,0.4015029151983343,0.4790784816273952,1.401877242770479,20,9,32,0.39075006389122413
29,29,99,0.3934642642788399,4.357194593874245,376.5543629818953,13,1,34,0.39075006389122413
30,30,99,0.3934642642788399,5762.608919682755,570453.2956658042,10,5,29,0.39075006389122413
31,31,99,0.3934642642788399,0.4782170712676995,1.7735896849740485,18,7,30,0.39075006389122413
32,32,99,0.3934642642788399,0.4498771962725118,1.165768479274012,16,8,30,0.39075006389122413
33,33,99,0.3934642642788399,0.45633143519158786,1.2989790123321938,9,5,27,0.39075006389122413
34,34,99,0.3934642642788399,11524.835419095152,570453.2962357716,21,7,33,0.39075006389122413
35,35,99,0.37124103292835986,1294661646.498627,128171502958.95981,13,7,32,0.39075006389122413
36,36,99,0.37124103292835986,0.4835593030504028,2.235649013485197,11,9,30,0.39075006389122413
37,37,99,0.37124103292835986,1294661646.6207407,128171502958.95981,8,7,26,0.39075006389122413
38,38,99,0.37124103292835986,0.47581192064391553,1.453288830303652,15,9,36,0.39075006389122413
39,39,99,0.37124103292835986,0.45841455010680027,1.6778663308156523,7,13,33,0.39075006389122413
40,40,99,0.37124103292835986,5762.613530680077,570453.287496524,8,7,30,0.39075006389122413
41,41,99,0.3580724572806661,5763.295325048401,570453.2962357716,12,10,34,0.39075006389122413
42,42,99,0.3580724572806661,0.4450537868621894,1.2491850864537055,8,6,31,0.39075006389122413
43,43,99,0.3580724572806661,1315141605.843703,128171502958.94131,10,7,27,0.39075006389122413
44,44,99,0.3528240222713088,0.4388012246258123,1.798429353760702,12,5,30,0.39075006389122413
45,45,99,0.3528240222713088,0.46178969396637837,2.2096781850799228,13,6,36,0.39075006389122413
46,46,99,0.34186591596069293,0.4986449075698483,7.408823854705128,9,5,31,0.39075006389122413
47,47,99,0.34186591596069293,0.48348840671783194,1.696334189913997,11,6,32,0.39075006389122413
48,48,99,0.34186591596069293,0.43730496567086025,1.3684822615488121,10,6,27,0.39075006389122413
49,49,99,0.34186591596069293,0.46624515719544934,4.429021273369605,20,10,27,0.39075006389122413
50,0,99,0.9990388813388573,35009.89009294912,3423306.225563756,0,5,37,0.23260727527356043
51,1,99,0.9990388813388573,1.1222964381724836,1.4667329084471135,5,10,25,0.23260727527356043
52,2,99,0.8185049786707775,1.0612178266686558,1.3720227246877281,14,9,26,0.23260727527356043
53,3,99,0.8064857613103734,1.03499071804469,2.054856204963542,17,12,34,0.23260727527356043
54,4,99,0.8064857613103734,62.27555553289564,5738.953026051066,9,10,29,0.23260727527356043
55,5,99,0.787095194611929,1.17089850998481,15.716656365607255,13,12,27,0.23260727527356043
56,6,99,0.6173186590123193,1.0008518869763519,3.217139080935921,16,6,30,0.23260727527356043
57,7,99,0.6173186590123193,0.9926553741136712,4.25539750873423,12,6,22,0.23260727527356043
58,8,99,0.4765687859492344,1.2621898518024943,12.82364626565959,17,11,27,0.23260727527356043
59,9,99,0.4676668326092621,0.9228923437754304,10.440049531065005,13,7,27,0.23260727527356043
60,10,99,0.4676668326092621,0.8933333957342474,5.815449667407483,16,10,27,0.23260727527356043
61,11,99,0.4496110329219962,1.1779005116811123,6.73610928050313,8,9,32,0.23260727527356043
62,12,99,0.4496110329219962,0.9374177388557536,10.443855246802821,11,6,30,0.23260727527356043
63,13,99,0.4493326098345326,1.0086168026835658,15.352153439105658,15,7,32,0.23260727527356043
64,14,99,0.4493326098345326,1.3428373196487566,54.4244258447125,16,7,31,0.23260727527356043
65,15,99,0.44783136463401,4.5417711724293675,366.4421943882085,13,10,33,0.23260727527356043
66,16,99,0.2940725453516977,0.9943524940156515,10.69819600059471,6,8,33,0.23260727527356043
67,17,99,0.2940725453516977,1.006598399946726,17.368440671072015,5,2,31,0.23260727527356043
68,18,99,0.2940725453516977,0.6101848005563805,3.0666187246518453,12,10,27,0.23260727527356043
69,19,99,0.27110784413032846,1.4692462961483668,53.0557606619829,13,5,34,0.23260727527356043
70,20,99,0.27110784413032846,1.2471493777032732,47.4717733754191,11,10,35,0.23260727527356043
71,21,99,0.24014643377989286,0.6089151317465066,4.042746882595164,6,6,31,0.23260727527356043
72,22,99,0.24014643377989286,3.1149247754289147,142.85339422491444,14,7,30,0.23260727527356043
73,23,99,0.24014643377989286,5767.342005774226,570453.536880942,12,10,25,0.23260727527356043
74,24,99,0.24014643377989286,1.4784044389726743,76.01224609231593,16,10,28,0.23260727527356043
75,25,99,0.2324821355264515,47440.81732932394,4696536.476989783,10,3,30,0.23260727527356043
76,26,99,0.22472348989701368,3.8950920111177005,328.41198341305477,14,5,31,0.23260727527356043
77,27,99,0.18774652065844355,6.619896922557813,376.5013787921435,14,12,33,0.23260727527356043
78,28,99,0.18774652065844355,0.9430499525756372,54.36218533690104,8,6,27,0.23260727527356043
79,29,99,0.18774652065844355,1.1450697864184476,52.92028148083608,17,6,25,0.23260727527356043
80,30,99,0.18774652065844355,0.5317425412434313,3.5354564118173437,21,5,26,0.23260727527356043
81,31,99,0.18774652065844355,0.5033984209717627,4.832752996803886,17,3,29,0.23260727527356043
82,32,99,0.18740113860236987,0.5571556764490072,4.832752996803886,21,6,27,0.23260727527356043
83,33,99,0.18740113860236987,0.473577433734204,3.300343597399696,22,6,29,0.23260727527356043
