,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,99,0.8175022955620637,1.3547960531914476,14.471401300265441,0,31,33,0.4286552287378827
1,1,99,0.8175022955620637,1.4723509722184056,30.65657355949228,1,39,26,0.4286552287378827
2,2,99,0.7900165139398969,1.17655977325372,1.7193205780236025,3,32,29,0.4286552287378827
3,3,99,0.7900165139398969,1.174215502146941,2.8702319548313335,0,28,28,0.4286552287378827
4,4,99,0.7900165139398969,1.1622914411643588,3.1617875120707786,1,30,30,0.4286552287378827
5,5,99,0.7454585377912615,1.1010461396830695,1.3183185920417086,2,28,33,0.4286552287378827
6,6,99,0.7454585377912615,1.18235025461383,8.443947990956705,1,29,29,0.4286552287378827
7,7,99,0.7454585377912615,1.1171279882708918,1.8897127668377105,1,36,31,0.4286552287378827
8,8,99,0.7454585377912615,1.0887078154494343,2.2521252334710415,1,30,26,0.4286552287378827
9,9,99,0.7454585377912615,1.0582174592309024,2.1972691956341324,0,29,28,0.4286552287378827
10,10,99,0.7454585377912615,1.3858008762293716,31.084393364382933,2,35,28,0.4286552287378827
11,11,99,0.7454585377912615,1.124900209473195,3.2527268909828275,0,30,31,0.4286552287378827
12,12,99,0.7394042486041864,1.1700484215909137,7.747170554941531,1,25,33,0.4286552287378827
13,13,99,0.7394042486041864,1.0385987744689504,2.574673935225056,3,30,25,0.4286552287378827
14,14,99,0.7394042486041864,1.1838723986766364,6.159500750731844,3,30,31,0.4286552287378827
15,15,99,0.7371676263299672,1.090246420482218,2.5990892271441215,4,36,32,0.4286552287378827
16,16,99,0.7371676263299672,1.082172661271093,2.7756749334511075,0,33,30,0.4286552287378827
17,17,99,0.7371676263299672,1.0350215388800963,2.286195274472666,1,26,33,0.4286552287378827
18,18,99,0.7371676263299672,1.172265891016293,9.241227932178209,5,33,31,0.4286552287378827
19,19,99,0.7371676263299672,1.1216831470869735,4.729019957064385,0,30,28,0.4286552287378827
20,20,99,0.7290206437404843,1.0623823668299806,2.3256908733999957,2,31,37,0.4286552287378827
21,21,99,0.7290206437404843,1.1120255980002474,2.6542032705778102,0,31,34,0.4286552287378827
22,22,99,0.7290206437404843,1.3016845972745505,24.83262317551929,0,25,28,0.4286552287378827
23,23,99,0.7290206437404843,1.02791060396823,2.8412425805235477,4,30,36,0.4286552287378827
24,24,99,0.7290206437404843,1.059217142378168,2.4660615197177793,2,31,27,0.4286552287378827
25,25,99,0.7290206437404843,1.2306090293765142,4.8864271165013795,2,31,32,0.4286552287378827
26,26,99,0.7290206437404843,1.1992733046158641,2.7226972952575603,3,35,33,0.4286552287378827
27,27,99,0.7290206437404843,1.2137730450203768,8.487199706227335,0,33,25,0.4286552287378827
28,28,99,0.7290206437404843,1.218586796637726,17.244089690794656,1,35,19,0.4286552287378827
