,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,499,0.5549875799087489,1.198086785283052,3.3524064671590774,0,34,139,0.342100639633543
1,1,499,0.5549875799087489,1.166085445081519,1.433976724996634,40,35,139,0.342100639633543
2,2,499,0.5549875799087489,1.1621448772277094,2.6468432879747397,40,41,148,0.342100639633543
3,3,499,0.5549875799087489,1.167610076093242,6.890112164327416,30,29,154,0.342100639633543
4,4,499,0.547656703420454,1.117170209704272,3.3852064146522287,32,35,149,0.342100639633543
5,5,499,0.547656703420454,1.1205162517460687,7.841955362297751,35,41,147,0.342100639633543
6,6,499,0.522986119409857,1.1023367061719738,14.690861014290535,28,42,163,0.342100639633543
7,7,499,0.522986119409857,1.0061017635239393,4.496208741865643,28,47,162,0.342100639633543
8,8,499,0.4916279302045098,0.9864562285702175,7.885973926079214,38,40,169,0.342100639633543
9,9,499,0.4853640336361205,0.9469401038950575,14.690861014290535,37,33,156,0.342100639633543
10,10,499,0.46328484506748513,0.8792751187546772,8.396137686520733,40,44,156,0.342100639633543
11,11,499,0.4367782089104813,0.8345350931580268,6.678578523641052,35,33,142,0.342100639633543
12,12,499,0.3706242330777111,0.7726044796154866,4.190446875087621,49,32,146,0.342100639633543
13,13,499,0.3706242330777111,0.7643550522489713,6.2723367536840735,52,35,153,0.342100639633543
14,14,499,0.3706242330777111,0.7067801450400735,4.12597113520263,46,40,164,0.342100639633543
15,15,499,0.34692912499053763,0.6502574578505764,4.2368930465648145,25,36,151,0.342100639633543
16,16,499,0.34692912499053763,0.6217667215997746,3.1050852520945686,35,32,149,0.342100639633543
17,17,499,0.34692912499053763,0.6350813893514071,4.269100626047537,36,31,151,0.342100639633543
18,18,499,0.34692912499053763,0.6205261227792075,6.351009072491367,38,40,146,0.342100639633543
19,19,499,0.34562173799047385,0.6230740612810336,6.122989478940949,35,32,137,0.342100639633543
20,20,499,0.34524939420903894,0.6182511679041174,8.947999532109877,38,39,140,0.342100639633543
21,21,499,0.3379334068603733,0.6431514175365638,11.194847635755188,43,40,135,0.342100639633543
22,22,499,0.3379334068603733,0.5568409083029612,6.216339041460029,50,32,138,0.342100639633543
23,23,499,0.3379334068603733,0.6401704269145562,9.062134854641666,55,30,169,0.342100639633543
24,24,499,0.3379334068603733,0.5668599711347456,6.299817365061205,36,38,139,0.342100639633543
25,25,499,0.3379334068603733,0.5819833547618216,9.184907031262266,58,43,144,0.342100639633543
26,26,499,0.3365595690831078,0.6146817218360545,5.955637673735935,45,45,147,0.342100639633543
27,27,499,0.3300288941107097,0.5956190012438002,8.783749020964715,41,42,164,0.342100639633543
28,28,499,0.3288115044721112,0.5518451492925254,8.84832699734157,31,29,144,0.342100639633543
29,29,499,0.3288115044721112,0.5484555971025797,9.18008195097015,42,43,143,0.342100639633543
30,30,499,0.3180402248574942,0.5779207222291997,8.638479315775879,43,36,146,0.342100639633543
31,31,499,0.3180402248574942,0.5765328562885125,12.274959308813907,42,35,152,0.342100639633543
32,32,499,0.3180402248574942,0.5498866140425567,6.008502890883577,39,30,153,0.342100639633543
33,33,499,0.3180402248574942,0.6150767317642708,9.014852125662317,38,29,148,0.342100639633543
34,34,499,0.3180402248574942,0.5406956005430272,8.996893357841344,44,29,151,0.342100639633543
35,35,499,0.3180402248574942,0.49356111460987656,8.555248299375178,42,36,136,0.342100639633543
36,36,499,0.3180402248574942,0.49543961257680913,6.063635347940214,52,37,152,0.342100639633543
37,37,499,0.313549166121937,0.5012643490159465,8.845374935914583,42,37,148,0.342100639633543
38,38,499,0.313549166121937,0.4848369251060816,5.911871352097815,51,43,153,0.342100639633543
39,39,499,0.313549166121937,0.5092923455889521,8.951124014350148,37,42,149,0.342100639633543
40,40,499,0.3088668748787712,0.48670347263780067,6.002096108272391,42,44,155,0.342100639633543
41,41,499,0.3088668748787712,0.46958278435006484,3.2581595016537532,37,34,143,0.342100639633543
42,42,499,0.28348734787458174,0.4591590222512668,3.1700282275794103,43,43,152,0.342100639633543
43,43,499,0.28348734787458174,0.4706493819309082,4.68899609612535,36,37,151,0.342100639633543
44,44,499,0.28348734787458174,0.4486630620281326,3.031971253989886,40,30,147,0.342100639633543
45,45,499,0.28348734787458174,0.43095834170764546,2.969795143566096,51,37,153,0.342100639633543
46,46,499,0.28348734787458174,0.42216358601376713,3.8022418414573447,41,40,155,0.342100639633543
47,47,499,0.28348734787458174,0.4401106769604574,8.552231373645098,35,38,153,0.342100639633543
48,48,499,0.28348734787458174,0.421511667995688,3.465059582760567,39,35,150,0.342100639633543
49,49,499,0.28348734787458174,0.4243585218762697,5.5611508167563946,36,34,164,0.342100639633543
50,0,499,0.7661095823804907,1.1968428357531116,3.377914816284071,0,31,128,0.07248575687972887
51,1,499,0.4066055629070189,1.1797918047816613,4.3706398640683055,47,47,147,0.07248575687972887
52,2,499,0.4066055629070189,1.1580327056447268,1.6817731861185332,38,41,142,0.07248575687972887
53,3,499,0.40474118570657613,1.1419940834086528,3.480280102515282,33,39,163,0.07248575687972887
54,4,499,0.40474118570657613,1.1057651066844039,2.660621168957108,34,40,145,0.07248575687972887
55,5,499,0.40474118570657613,1.0729691445655085,4.7305802507299894,48,46,165,0.07248575687972887
56,6,499,0.3883268374649135,1.0078801983710166,2.4162188457105294,24,42,136,0.07248575687972887
57,7,499,0.3883268374649135,0.9646201832031572,2.5473086382096124,51,32,143,0.07248575687972887
58,8,499,0.3883268374649135,0.9411354718525304,5.016008200718583,47,40,153,0.07248575687972887
59,9,499,0.3853749253295034,0.8994997804280597,13.406394109200555,40,45,146,0.07248575687972887
60,10,499,0.3837710979114181,0.8553435013545306,4.4519996747374115,39,43,149,0.07248575687972887
61,11,499,0.15935650619670516,0.7744039025792219,3.0053252696161445,37,35,147,0.07248575687972887
62,12,499,0.15935650619670516,0.7493706975194336,4.919865926420216,33,36,159,0.07248575687972887
63,13,499,0.15935650619670516,0.6746974400978203,2.8157247049795657,26,38,145,0.07248575687972887
64,14,499,0.14527044721827573,0.638118528113669,8.705932697402076,36,36,132,0.07248575687972887
65,15,499,0.1384520483846494,0.5544391052385156,2.467526539376325,56,29,142,0.07248575687972887
66,16,499,0.13251515386578544,0.5190651919146084,3.135784348352404,48,30,152,0.07248575687972887
67,17,499,0.13251515386578544,0.5034185095646209,5.820809901657379,36,46,155,0.07248575687972887
68,18,499,0.13141712485433119,0.47062664847156016,3.063336986624285,31,37,137,0.07248575687972887
69,19,499,0.11474859203199374,0.4314078627888088,5.809959982300198,41,35,141,0.07248575687972887
70,20,499,0.11474859203199374,0.4189484412114198,3.6961407099245362,52,30,151,0.07248575687972887
71,21,499,0.11335007662937743,0.3831801326845628,3.1989483035293267,36,35,168,0.07248575687972887
72,22,499,0.09828800624311247,0.3457534054986782,2.811086962207799,18,37,144,0.07248575687972887
73,23,499,0.09687524529696583,0.3773136379978988,3.7086022969079235,34,41,147,0.07248575687972887
74,24,499,0.09687524529696583,0.32352539050461854,5.477551430133072,24,38,150,0.07248575687972887
75,25,499,0.09687524529696583,0.36816872291155095,3.7039851025571227,41,43,146,0.07248575687972887
76,26,499,0.09470679311270261,0.3201778779602659,5.032261124392425,40,33,151,0.07248575687972887
77,27,499,0.09470679311270261,0.320876370501125,3.6790761022142964,40,29,152,0.07248575687972887
78,28,499,0.09357176114933981,0.31627241954212576,3.6347271469325353,41,35,156,0.07248575687972887
79,29,499,0.09357176114933981,0.31865182671133224,3.1904458827069906,44,38,154,0.07248575687972887
80,30,499,0.09357176114933981,0.32184870244579966,2.796655917256966,42,41,152,0.07248575687972887
81,31,499,0.08994162265935128,0.3150132047634068,4.407649287798743,35,32,150,0.07248575687972887
82,32,499,0.08994162265935128,0.28130101319658934,3.1863064212069747,37,40,136,0.07248575687972887
83,33,499,0.08316632885828482,0.31447422129058433,8.493214777608932,57,31,163,0.07248575687972887
84,34,499,0.08316632885828482,0.2834920214611287,3.1271293788926955,31,41,136,0.07248575687972887
85,35,499,0.08316632885828482,0.30735494635329663,3.12487480438705,44,32,146,0.07248575687972887
86,36,499,0.08316632885828482,0.270661667152667,3.6380040447489357,59,39,150,0.07248575687972887
87,37,499,0.08151753967909921,0.25140166320588536,3.6469556763785844,51,36,149,0.07248575687972887
88,38,499,0.08151753967909921,0.2569150016547784,3.634616084068138,54,35,154,0.07248575687972887
89,39,499,0.08151753967909921,0.2537135977537738,3.643408517388927,28,44,142,0.07248575687972887
90,40,499,0.08151753967909921,0.2861213880606898,3.6469556763785844,56,41,153,0.07248575687972887
91,41,499,0.08151753967909921,0.2522662333698969,3.369532807653825,37,37,145,0.07248575687972887
92,42,499,0.08151753967909921,0.27646495772630575,4.113780930750348,36,35,142,0.07248575687972887
93,43,499,0.08151753967909921,0.2953978952014046,3.6469556763785844,50,41,170,0.07248575687972887
94,44,499,0.08151753967909921,0.22688087582631944,3.1244021188597344,29,42,151,0.07248575687972887
95,45,499,0.08151753967909921,0.2515919857398323,4.981595011529401,33,36,151,0.07248575687972887
96,46,499,0.08151753967909921,0.29347402409571205,3.637881147797865,42,38,152,0.07248575687972887
97,47,499,0.08151753967909921,0.24706386306850023,3.590789304890594,42,33,146,0.07248575687972887
98,48,499,0.08151753967909921,0.24174206694694877,3.124176601267034,43,30,149,0.07248575687972887
99,49,499,0.08151753967909921,0.22147459582428122,4.536384558153495,39,36,147,0.07248575687972887
100,0,499,0.8175022955620637,1.215675316491594,7.848465357895794,0,37,156,0.37458883678612037
101,1,499,0.8173459809847646,1.1832350052708884,4.715338693632907,27,32,147,0.37458883678612037
102,2,499,0.8173459809847646,1.1723873248505203,2.4217056265363492,47,40,151,0.37458883678612037
103,3,499,0.606350964544822,1.1496431991000926,2.044247583877579,30,40,152,0.37458883678612037
104,4,499,0.606350964544822,1.1283804470802044,4.444363705958004,33,33,132,0.37458883678612037
105,5,499,0.5962144456077592,1.080223231671763,2.8178849938295802,53,34,144,0.37458883678612037
