,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,99,0.8175022955620637,1.2024094972031678,1.5159007501437956,0,4,31,0.18639807742175535
1,1,99,0.8175022955620637,1.222479908395686,4.402056255737329,3,3,31,0.18639807742175535
2,2,99,0.8175022955620637,1.1832299551224572,1.657271324748678,4,0,33,0.18639807742175535
3,3,99,0.8175022955620637,1.199326237856827,2.195280921824843,7,3,26,0.18639807742175535
4,4,99,0.4835712345176579,1.163923126874787,1.7193205780236025,13,1,36,0.18639807742175535
5,5,99,0.4835712345176579,1.2982370782445458,17.247642294774273,10,1,30,0.18639807742175535
6,6,99,0.4835712345176579,1.1232646486166145,1.7193205780236025,12,0,28,0.18639807742175535
7,7,99,0.4835712345176579,1.1408923158868522,2.4217056265363492,14,0,28,0.18639807742175535
8,8,99,0.4835712345176579,1.1222706777456466,1.7193205780236025,10,1,33,0.18639807742175535
9,9,99,0.4835712345176579,1.1221485762526642,3.2447552764765173,6,7,28,0.18639807742175535
10,10,99,0.4835712345176579,1.0732642974496995,1.657271324748678,6,6,25,0.18639807742175535
11,11,99,0.4835712345176579,1.1252866351173405,3.229429995937332,13,2,29,0.18639807742175535
12,12,99,0.4835712345176579,1.058938696980785,2.594415166563303,9,1,28,0.18639807742175535
13,13,99,0.4835712345176579,1.0970805284251435,3.5464125033144533,14,1,28,0.18639807742175535
14,14,99,0.4835712345176579,1.1200018077781004,7.444710307206386,13,2,30,0.18639807742175535
15,15,99,0.4835712345176579,1.061598978056505,1.9627357486531138,14,3,34,0.18639807742175535
16,16,99,0.4835712345176579,1.1138537766795376,7.086100776345984,7,5,29,0.18639807742175535
17,17,99,0.4835712345176579,1.0972247299903874,4.875296148763071,10,2,37,0.18639807742175535
18,18,99,0.4835712345176579,1.014826815463695,1.7193205780236025,7,0,28,0.18639807742175535
19,19,99,0.4835712345176579,0.9726446792449314,1.7193205780236025,10,3,31,0.18639807742175535
20,20,99,0.4835712345176579,0.9616740632964056,3.563069641860282,7,2,29,0.18639807742175535
21,21,99,0.4835712345176579,0.9800339612423575,3.265351624741087,10,2,29,0.18639807742175535
22,22,99,0.4835712345176579,0.9606675202732448,1.7193205780236025,8,4,27,0.18639807742175535
23,23,99,0.4835712345176579,1.2398874664481376,8.374162469964917,4,1,38,0.18639807742175535
24,24,99,0.4835712345176579,1.0512778774092295,6.290435757925107,3,0,29,0.18639807742175535
25,25,99,0.4835712345176579,1.0789127210227814,6.5800491359437325,5,2,33,0.18639807742175535
26,26,99,0.4835712345176579,0.9661141793118758,4.258146613157519,4,3,24,0.18639807742175535
27,27,99,0.16193193507248385,0.8667128135745721,4.063849495434826,14,1,34,0.18639807742175535
28,28,99,0.16193193507248385,0.9419355409445248,4.3166778452699255,5,3,33,0.18639807742175535
29,29,99,0.16193193507248385,0.9772985992969584,4.324426794938002,7,5,30,0.18639807742175535
30,30,99,0.16193193507248385,0.9132619421742245,4.5748633489514425,8,0,34,0.18639807742175535
31,31,99,0.16193193507248385,0.971062446117872,4.8767844886789335,6,2,29,0.18639807742175535
32,32,99,0.16193193507248385,1.1113378136663676,8.258350329579683,8,2,31,0.18639807742175535
33,33,99,0.16193193507248385,1.3447674001211274,23.09267155265088,14,3,27,0.18639807742175535
