,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,99,0.4835712345176579,1.1237426103566173,2.48671205406796,0,3,27,0.20981695860027677
1,1,99,0.4835712345176579,1.1585067595232637,2.4660615197177793,21,7,28,0.20981695860027677
2,2,99,0.4835712345176579,1.2568164910421313,5.222396035935118,29,5,28,0.20981695860027677
3,3,99,0.4835712345176579,1.125646373143969,4.413474903406117,31,6,27,0.20981695860027677
4,4,99,0.4835712345176579,0.9922023283183128,9.63855857907688,29,8,26,0.20981695860027677
5,5,99,0.4835712345176579,1.1744180925389083,3.563069641860282,27,3,32,0.20981695860027677
6,6,99,0.4835712345176579,1.3398564115735703,15.612787156385181,13,6,31,0.20981695860027677
7,7,99,0.4835712345176579,1.7727774415696624,71.27920697508338,9,5,32,0.20981695860027677
8,8,99,0.4835712345176579,0.8681154730807297,3.563069641860282,11,4,27,0.20981695860027677
9,9,99,0.4835712345176579,1.3948599702694473,13.157788246545458,12,8,30,0.20981695860027677
10,10,99,0.4835712345176579,0.9516784878739544,3.563069641860282,11,4,33,0.20981695860027677
11,11,99,0.4835712345176579,1.1239731489183717,8.258350329579683,10,7,28,0.20981695860027677
12,12,99,0.4835712345176579,1.0599256774016237,5.20151550027453,13,6,30,0.20981695860027677
13,13,99,0.4835712345176579,1.0675094444312556,3.563069641860282,10,6,30,0.20981695860027677
14,14,99,0.47187694567661603,1.06933099709108,3.563069641860282,11,5,30,0.20981695860027677
15,15,99,0.47187694567661603,1.0685136232126842,6.683365274379746,11,11,30,0.20981695860027677
16,16,99,0.47187694567661603,0.8247178803365469,5.388945421682114,11,8,21,0.20981695860027677
17,17,99,0.39923184932792294,0.7370187985349548,3.9388452260750157,27,5,28,0.20981695860027677
18,18,99,0.39923184932792294,0.8115147041412563,7.505470969227141,25,10,32,0.20981695860027677
19,19,99,0.39923184932792294,0.5766542538103229,2.6999328270160463,11,8,30,0.20981695860027677
20,20,99,0.39923184932792294,0.609381003073039,7.33936896704839,19,9,31,0.20981695860027677
21,21,99,0.39923184932792294,0.5591648652665473,3.577620548861303,26,8,25,0.20981695860027677
