,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,100,0.8175022955620637,1.2053138219105946,1.5508493234740197,0,13,30,0.3994224949466708
1,1,100,0.8702829032473225,1.1994905982380804,2.314786496540866,4,6,32,0.3994224949466708
2,2,100,0.8702829032473225,1.1736286516953758,1.3874949680029536,7,7,26,0.3994224949466708
3,3,100,0.855203723186596,1.1484279490701215,1.589904752587877,13,9,30,0.3994224949466708
4,4,100,0.606350964544822,1.1147781956488583,1.410422689238382,6,4,31,0.3994224949466708
5,5,100,0.6862539244202698,1.1063481849988748,1.4739024738447024,7,5,34,0.3994224949466708
6,6,100,0.6782323574120696,1.0874429376956345,1.808543975088811,3,12,35,0.3994224949466708
7,7,100,0.6862539244202698,1.0795569658042066,1.4420950689030472,1,11,30,0.3994224949466708
8,8,100,0.6862539244202698,1.0508515705627814,1.5871016328553682,6,9,32,0.3994224949466708
9,9,100,0.606350964544822,1.0694820986972098,2.4521726945588846,5,7,31,0.3994224949466708
10,10,100,0.5806664196187621,1.0178584376352757,1.971887528967297,4,6,28,0.3994224949466708
11,11,100,0.5806664196187621,1.013800074507559,1.8420827366949326,10,11,31,0.3994224949466708
12,12,100,0.5806664196187621,0.9605231581361813,1.8240221318869139,10,9,32,0.3994224949466708
13,13,100,0.5962144456077592,0.9868668831239762,1.5979926754519955,6,5,31,0.3994224949466708
14,14,100,0.570774351767635,0.9541237505083194,1.8744740235127693,5,8,33,0.3994224949466708
15,15,100,0.5739975545514583,0.9352028629186317,2.0577562640098748,3,5,36,0.3994224949466708
16,16,100,0.5502841000846863,0.9322465399466071,1.5871016328553682,6,9,32,0.3994224949466708
17,17,100,0.5502841000846863,0.8396616124531809,1.3530229578823787,3,3,35,0.3994224949466708
18,18,100,0.5502841000846863,0.8289162605096237,1.9051256586286196,2,6,27,0.3994224949466708
19,19,100,0.5502841000846863,0.7733812066053812,1.5871016328553682,9,10,29,0.3994224949466708
20,20,100,0.4652595423932035,0.7202538869328035,1.2741322131249018,9,3,28,0.3994224949466708
21,21,100,0.42535230015803277,0.7482459846049611,1.5092962862108439,14,4,35,0.3994224949466708
22,22,100,0.42535230015803277,0.7466437993121368,1.434655385505234,4,8,34,0.3994224949466708
23,23,100,0.42535230015803277,0.6834107791511183,1.434655385505234,3,9,28,0.3994224949466708
24,24,100,0.39547401239941393,0.6741075805019426,1.7808841800979125,13,9,30,0.3994224949466708
25,25,100,0.39547401239941393,0.63991029593409,1.4604028302165752,8,5,26,0.3994224949466708
26,26,100,0.39547401239941393,0.6431884217035582,1.2954582784264044,11,7,31,0.3994224949466708
27,27,100,0.39547401239941393,0.6107181610687826,5.080755879952179,8,7,25,0.3994224949466708
28,28,100,0.39547401239941393,0.579464896168206,1.437181942378114,11,6,29,0.3994224949466708
29,29,100,0.39547401239941393,0.5630830091993582,0.9592665808392908,8,10,27,0.3994224949466708
30,30,100,0.3956883054746106,0.5972150004213115,1.7148328056348459,6,15,32,0.3994224949466708
31,31,100,0.3956883054746106,0.5836149604282844,1.3283245307413303,3,10,36,0.3994224949466708
32,32,100,0.3956883054746106,0.55762297532715,1.5283454133458365,7,11,30,0.3994224949466708
33,33,100,0.40111574712267645,0.5412603055664533,1.0150896126448692,7,7,29,0.3994224949466708
34,34,100,0.4011157471226764,0.5306242265123163,0.9972502298621264,5,6,35,0.3994224949466708
35,35,100,0.38592082412221623,0.5466467612455341,1.7083849132216027,5,9,34,0.3994224949466708
36,36,100,0.38592082412221623,0.5046287894394743,1.1767267025106523,4,8,33,0.3994224949466708
37,37,100,0.3826424356131716,0.5063499732640706,1.5283454133458365,2,4,32,0.3994224949466708
38,38,100,0.3826424356131716,0.4694104414542505,0.9377362539639221,7,4,22,0.3994224949466708
39,39,100,0.3826424356131716,0.49567780296819464,1.4112743194669104,17,6,30,0.3994224949466708
40,40,100,0.3826424356131716,0.4912583567581392,1.1606245072717587,15,8,32,0.3994224949466708
41,41,100,0.37188527899779794,0.4741431558037764,0.9149491304114274,8,8,30,0.3994224949466708
42,42,100,0.3347174667964511,0.4823007451445654,1.5189068620511725,8,10,28,0.3994224949466708
43,43,100,0.3347174667964511,0.4943218070790407,1.0901077504172647,8,7,24,0.3994224949466708
44,44,100,0.3826424356131716,0.47548926243767586,1.0893023235429766,12,10,30,0.3994224949466708
45,45,100,0.3739996353705223,0.501314783869995,1.2775924009671924,9,6,33,0.3994224949466708
46,46,100,0.3769405949285579,0.4962103259587605,1.1216917173759728,5,7,32,0.3994224949466708
47,47,100,0.3769405949285579,0.49565550356644067,1.3210810319827475,6,8,34,0.3994224949466708
48,48,100,0.35108229220737336,0.49962651655528023,1.113026255072361,3,6,37,0.3994224949466708
49,49,100,0.35108229220737336,0.45752432105124635,1.0814741049126038,2,6,29,0.3994224949466708
50,0,100,0.9149703422302019,1.272713312088469,10.819643070378161,0,8,32,0.28104959029097065
51,1,100,0.8336615610546971,1.1454936220906153,1.242222887749109,5,7,26,0.28104959029097065
52,2,100,0.9104057030161047,1.1258475169773419,1.2642511955447204,9,6,31,0.28104959029097065
53,3,100,0.8835525727262639,1.1047074467845326,1.7778176051539762,7,9,32,0.28104959029097065
54,4,100,0.8835525727262639,1.0909302198449162,2.5655309022084802,9,9,29,0.28104959029097065
55,5,100,0.8835525727262639,1.0165404103048978,1.3929886890682157,8,10,26,0.28104959029097065
56,6,100,0.9005468152054881,1.0077288802041697,1.8798327026319692,10,9,32,0.28104959029097065
57,7,100,0.8192981961646747,0.9723236880977084,1.8360161493018972,5,3,28,0.28104959029097065
58,8,100,0.7445871842025331,0.954350227312792,1.7848742429815017,8,11,26,0.28104959029097065
59,9,100,0.7445797363856943,0.9443631084902787,1.8938584171245623,11,6,30,0.28104959029097065
60,10,100,0.7564532282498476,0.9397617911551293,1.8805686509262998,13,4,27,0.28104959029097065
61,11,100,0.7557424261278785,0.9231515622987715,1.877914676732834,17,8,30,0.28104959029097065
62,12,100,0.6646368160193513,0.8948274919375403,1.4875782957023636,10,8,28,0.28104959029097065
63,13,100,0.7545966717392883,0.9119896291091534,1.8198948305830656,8,13,30,0.28104959029097065
64,14,100,0.7262635451386334,0.8813757949857053,1.757059013755757,5,8,27,0.28104959029097065
65,15,100,0.7496915658281453,0.8686291380404916,1.747851463639636,12,7,34,0.28104959029097065
66,16,100,0.7408734927107731,0.8642537588057317,1.806940648290411,5,8,36,0.28104959029097065
67,17,100,0.706578253441229,0.8633296404320354,1.7876549246275977,3,8,29,0.28104959029097065
68,18,100,0.706578253441229,0.8174675989572954,1.4246335391205227,7,10,28,0.28104959029097065
69,19,100,0.706578253441229,0.8434513858646369,2.598820759418176,10,7,29,0.28104959029097065
70,20,100,0.706578253441229,0.8469851945172331,1.759968813849067,10,5,28,0.28104959029097065
71,21,100,0.7038703621166598,0.8765695716823474,2.6008782817491576,7,9,31,0.28104959029097065
72,22,100,0.7038703621166598,0.8972198068397836,2.862979115088806,9,12,28,0.28104959029097065
73,23,100,0.6936911951506415,0.9056087508407651,7.9158685198364065,6,9,26,0.28104959029097065
74,24,100,0.6671545109995898,0.7939396385209012,1.8082577823155501,7,8,33,0.28104959029097065
75,25,100,0.6671545109995898,0.8188898457899373,1.8535741562427865,4,12,31,0.28104959029097065
76,26,100,0.6982239554121312,0.7948352535146758,1.5517733743847408,6,5,25,0.28104959029097065
77,27,100,0.6980598022648449,0.8305604169250416,2.003134225932821,11,10,31,0.28104959029097065
78,28,100,0.6523109165213864,0.7686378983756624,1.4209027998905477,8,7,30,0.28104959029097065
79,29,100,0.6523109165213864,0.8162736174576561,1.862855727964465,9,9,36,0.28104959029097065
80,30,100,0.6812450518943745,0.7825138916637261,1.66527405865616,7,8,22,0.28104959029097065
81,31,100,0.677749485651197,0.7847860946005469,1.7300080710238692,13,8,35,0.28104959029097065
82,32,100,0.677749485651197,0.8285706805951962,2.7255523030022277,4,12,28,0.28104959029097065
83,33,100,0.677749485651197,0.8565963461766003,3.7188627567427694,4,5,27,0.28104959029097065
84,34,100,0.6670053720663396,0.8181718385382477,1.6861799708743415,12,6,26,0.28104959029097065
