,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,99,0.9628415288508412,1.2498427964223462,4.948242197636971,0,6,27,0.29831784678974926
1,1,99,0.949794024704764,1.1815596051246067,2.210985756811904,8,6,27,0.29831784678974926
2,2,99,0.949794024704764,1.1466894551426072,1.7011931298432865,13,9,28,0.29831784678974926
3,3,99,0.8785367322620351,1.1149419354900814,1.760736925586117,10,6,26,0.29831784678974926
4,4,99,0.6887117817023688,1.0660397931703247,1.8126545982815256,9,8,28,0.29831784678974926
5,5,99,0.6887117817023688,1.179465131136872,14.976968223780158,10,7,31,0.29831784678974926
6,6,99,0.6887117817023688,1.0344303567053614,5.614508588754112,11,7,26,0.29831784678974926
7,7,99,0.6719941439930806,1.0148287599550982,2.4298422052041464,11,10,26,0.29831784678974926
8,8,99,0.6719941439930806,1.0229601671193957,5.91132057010201,14,5,24,0.29831784678974926
9,9,99,0.6447122153892003,1.266499550027129,14.848667088535958,12,9,31,0.29831784678974926
10,10,99,0.5957763548588753,1.076883688948642,7.170072798981081,4,9,31,0.29831784678974926
11,11,99,0.5957763548588753,1.2040196129164074,20.074577797215166,9,7,29,0.29831784678974926
12,12,99,0.5466802457736092,0.8689438022296466,1.6790709276815041,12,9,25,0.29831784678974926
13,13,99,0.5466802457736092,0.8814017908237203,6.803050781868238,13,5,30,0.29831784678974926
14,14,99,0.513661720706557,0.9276786538005856,4.332662760109912,9,6,33,0.29831784678974926
15,15,99,0.513661720706557,0.7785661875715352,1.4086863233143263,10,5,23,0.29831784678974926
16,16,99,0.513661720706557,0.7876684681229565,2.3833297134102027,20,8,31,0.29831784678974926
17,17,99,0.513661720706557,0.8051980359617915,3.5531776990961665,8,7,32,0.29831784678974926
18,18,99,0.513661720706557,0.7526355308191343,1.3953219281077094,4,9,26,0.29831784678974926
19,19,99,0.513661720706557,0.7184477227990615,1.5765335347404943,8,7,23,0.29831784678974926
20,20,99,0.513661720706557,0.7121464444809775,1.7700522159243497,15,5,31,0.29831784678974926
21,21,99,0.512505157703576,0.8362361158646419,4.518722398359909,8,6,33,0.29831784678974926
22,22,99,0.512505157703576,0.7856228674282757,6.261927636856621,6,7,26,0.29831784678974926
23,23,99,0.46287412666084443,0.7025090699595117,1.956396825547118,14,4,33,0.29831784678974926
24,24,99,0.46287412666084443,0.748939619214455,1.8218621737278518,7,4,32,0.29831784678974926
25,25,99,0.46287412666084443,0.7437086074441334,3.1108701044102567,4,9,33,0.29831784678974926
26,26,99,0.42455117090280836,0.6317927830187158,1.1084081982873382,5,8,32,0.29831784678974926
27,27,99,0.42455117090280836,0.6394177651910194,3.0218276657621868,4,11,27,0.29831784678974926
28,28,99,0.39627787886868027,0.6908187061564774,2.210326860320031,7,11,28,0.29831784678974926
29,29,99,0.39627787886868027,0.6205313612447682,1.6338961941516363,6,6,26,0.29831784678974926
30,30,99,0.39627787886868027,0.7202639514377149,4.768827610958488,16,5,31,0.29831784678974926
31,31,99,0.39627787886868027,0.7188611623746686,3.5675610375181885,12,12,32,0.29831784678974926
32,32,99,0.39627787886868027,0.6811408840193357,2.074872388642256,4,7,29,0.29831784678974926
33,33,99,0.39627787886868027,0.6424645373092922,2.1925244862329145,10,6,37,0.29831784678974926
34,34,99,0.39627787886868027,0.6402127974835464,1.7123591520852706,5,8,32,0.29831784678974926
35,35,99,0.39627787886868027,0.6500426804851266,3.5028790177978046,4,9,32,0.29831784678974926
36,36,99,0.39627787886868027,0.6141295013978297,3.146523470911843,5,7,29,0.29831784678974926
37,37,99,0.39627787886868027,0.720627753800331,6.577484697009474,7,9,29,0.29831784678974926
38,38,99,0.39627787886868027,0.5687999589508482,1.515172641274185,8,7,27,0.29831784678974926
39,39,99,0.36314361285697394,0.5536855402825025,1.5819097261372437,13,5,30,0.29831784678974926
40,40,99,0.36314361285697394,0.5586829911876195,3.6769508350211657,14,6,30,0.29831784678974926
41,41,99,0.36314361285697394,0.5227390719504932,1.0892150925147126,10,7,33,0.29831784678974926
42,42,99,0.36314361285697394,0.5774660225775429,2.2027983314749364,7,8,27,0.29831784678974926
43,43,99,0.36314361285697394,0.5448978837732106,1.7630131031259995,5,8,29,0.29831784678974926
44,44,99,0.36314361285697394,0.5155604566895127,1.2897835524987178,10,6,24,0.29831784678974926
45,45,99,0.36314361285697394,0.48078474612313865,1.6674210361164614,16,4,29,0.29831784678974926
46,46,99,0.36314361285697394,0.537664210962277,2.8001995928023096,10,6,27,0.29831784678974926
47,47,99,0.36158562565806385,0.5859748543907882,3.8556451476534925,15,10,26,0.29831784678974926
48,48,99,0.36158562565806385,0.4746210098028983,1.0616618490135787,13,9,32,0.29831784678974926
49,49,99,0.36158562565806385,0.5199935650020313,1.8325182595872496,8,8,32,0.29831784678974926
50,0,99,0.9150809154514952,1.2561877521675349,2.7938057770050198,0,7,30,0.38389484403222174
51,1,99,0.9150809154514952,1.182655847133454,1.6548268922597829,7,8,29,0.38389484403222174
52,2,99,0.8111629347820519,1.187421165726101,2.346700219856366,6,10,31,0.38389484403222174
53,3,99,0.7917970767156157,1.1434294475175883,1.5659828193106642,8,8,25,0.38389484403222174
54,4,99,0.745499475965816,1.1029025530419898,1.3739717111765803,12,6,29,0.38389484403222174
55,5,99,0.7228630938118703,1.0872174803378234,1.6077678379388771,14,6,27,0.38389484403222174
56,6,99,0.7228630938118703,1.1326887471652831,2.6291142777121133,11,6,33,0.38389484403222174
57,7,99,0.7228630938118703,1.0504632770115958,2.3866303318214754,1,9,25,0.38389484403222174
58,8,99,0.7228630938118703,1.0906828874863828,3.8226153960096436,7,9,38,0.38389484403222174
59,9,99,0.7228630938118703,1.0425843876705405,5.21306803604623,2,4,22,0.38389484403222174
60,10,99,0.716087014210715,1.0737493313958646,5.162478324683862,13,4,31,0.38389484403222174
61,11,99,0.7053170865078593,1.0371904486527068,4.9876943715211315,8,8,31,0.38389484403222174
62,12,99,0.7053170865078593,0.91536530539475,1.571908291148198,9,11,24,0.38389484403222174
63,13,99,0.6298389477209703,0.9123266830895858,3.0251784534018036,13,8,34,0.38389484403222174
64,14,99,0.6298389477209703,0.912024802382499,4.16571460882978,5,4,26,0.38389484403222174
65,15,99,0.6298389477209703,0.8407345301594761,2.3447041905559836,15,4,29,0.38389484403222174
66,16,99,0.6298389477209703,0.800257659208332,1.800409906988308,10,15,27,0.38389484403222174
67,17,99,0.6190375864474613,0.830074908483464,2.6449107362472057,9,6,31,0.38389484403222174
68,18,99,0.6190375864474613,0.7810116583728154,1.9548974390849463,7,5,31,0.38389484403222174
69,19,99,0.6190375864474613,0.7806168973950606,1.5554525782478534,9,5,30,0.38389484403222174
70,20,99,0.6190375864474613,0.8153008289097254,2.2154833708375916,10,9,34,0.38389484403222174
71,21,99,0.6190375864474613,0.7386078357737458,1.6990185463433454,1,5,31,0.38389484403222174
72,22,99,0.6190375864474613,0.7399141724381841,2.321160557017052,9,13,30,0.38389484403222174
73,23,99,0.6190375864474613,0.7268037038421764,2.057859387650294,7,7,33,0.38389484403222174
74,24,99,0.6190375864474613,0.723658804974101,1.6459540316896053,7,5,32,0.38389484403222174
75,25,99,0.577862593752805,0.7209284213950596,1.556737181415897,9,12,29,0.38389484403222174
76,26,99,0.5600250707210116,0.7098403361110434,1.500004235833675,8,11,28,0.38389484403222174
77,27,99,0.5600250707210116,0.6925833321926494,1.7326438313319394,10,7,24,0.38389484403222174
78,28,99,0.5571880482814195,0.6905717848920196,1.7263572812927455,10,7,31,0.38389484403222174
79,29,99,0.5546130435491022,0.6691438153922069,1.733218482802147,10,6,25,0.38389484403222174
80,30,99,0.5473825989019228,0.646097970288765,1.0789240089902987,13,4,29,0.38389484403222174
81,31,99,0.5370479258995937,0.6251827190464655,1.045777911610872,12,7,29,0.38389484403222174
82,32,99,0.5370479258995937,0.6707944479469521,1.8475492988160618,12,10,31,0.38389484403222174
83,33,99,0.5370479258995937,0.6753308592052301,3.6945969404457424,6,3,33,0.38389484403222174
84,34,99,0.5370479258995937,0.6340005128544104,2.1175301426602435,7,11,26,0.38389484403222174
85,35,99,0.5326923137136328,0.5966070857563002,2.0653187816894123,10,10,33,0.38389484403222174
86,36,99,0.5326923137136328,0.6077994827363893,2.212620235192323,8,7,25,0.38389484403222174
87,37,99,0.5326923137136328,0.6116723792597077,2.379060630334807,11,7,31,0.38389484403222174
88,38,99,0.5057269490152894,0.5799877055873597,1.0298105854160904,5,9,24,0.38389484403222174
89,39,99,0.5057269490152894,0.5828131561598983,1.4819820171104043,13,3,26,0.38389484403222174
90,40,99,0.5057269490152894,0.5910975626082496,2.7895673885957497,19,9,21,0.38389484403222174
91,41,99,0.5057269490152894,0.5984172499662063,3.912183718502968,18,4,33,0.38389484403222174
92,42,99,0.5057269490152894,0.6180501770433873,2.0556739928150414,9,8,36,0.38389484403222174
