gen,best_fitness,mean_fitness,std_fitness,total_cross,total_mut,mean_size,size_best_individual
0,42.0,10.05,255.28650000000002,0,0,2.8,3
1,33.0,6.609999999999999,174.1089,3,4,3.3,3
2,36.4,10.959999999999997,277.3704000000001,3,1,3.2,3
3,34.7,20.82,288.98160000000007,2,2,3.2,3
4,34.9,31.409999999999997,109.62089999999998,2,1,3.0,3
5,33.1,33.10000000000001,5.048709793414476e-29,2,0,3.0,3
6,38.8,38.800000000000004,5.048709793414476e-29,3,3,3.0,3
7,36.3,36.300000000000004,5.048709793414476e-29,3,0,3.0,3
8,38.3,38.300000000000004,5.048709793414476e-29,2,1,3.0,3
9,35.4,35.39999999999999,5.048709793414476e-29,3,3,3.0,3
10,33.8,33.800000000000004,5.048709793414476e-29,3,2,3.0,3
11,30.5,30.5,0.0,2,1,3.0,3
12,39.6,39.60000000000001,5.048709793414476e-29,2,0,3.0,3
13,29.8,29.800000000000004,1.262177448353619e-29,3,0,3.0,3
14,36.5,36.5,0.0,3,2,3.0,3
15,31.8,31.800000000000004,1.262177448353619e-29,3,2,3.0,3
16,33.9,33.89999999999999,5.048709793414476e-29,2,2,3.0,3
17,35.2,35.199999999999996,5.048709793414476e-29,2,1,3.0,3
18,31.6,31.6,0.0,2,2,3.0,3
19,34.5,34.5,0.0,2,2,3.0,3
20,37.9,37.89999999999999,5.048709793414476e-29,3,1,3.0,3
21,36.1,36.10000000000001,5.048709793414476e-29,2,2,3.0,3
22,38.6,38.60000000000001,5.048709793414476e-29,3,2,3.0,3
23,36.1,36.10000000000001,5.048709793414476e-29,3,1,3.0,3
24,34.4,34.39999999999999,5.048709793414476e-29,2,1,3.0,3
25,34.5,34.5,0.0,2,1,3.0,3
26,35.8,35.800000000000004,5.048709793414476e-29,3,1,3.0,3
27,39.7,39.699999999999996,5.048709793414476e-29,3,2,3.0,3
28,38.3,38.300000000000004,5.048709793414476e-29,3,2,3.0,3
29,33.1,33.10000000000001,5.048709793414476e-29,2,1,3.0,3
30,36.5,36.5,0.0,2,1,3.0,3
31,32.5,32.5,0.0,2,0,3.0,3
32,35.7,35.699999999999996,5.048709793414476e-29,3,2,3.0,3
33,33.7,33.699999999999996,5.048709793414476e-29,3,0,3.0,3
34,40.0,40.0,0.0,2,1,3.0,3
35,39.6,39.60000000000001,5.048709793414476e-29,3,1,3.0,3
36,31.2,31.199999999999996,1.262177448353619e-29,3,4,3.0,3
37,33.1,33.10000000000001,5.048709793414476e-29,3,4,3.0,3
38,31.0,31.0,0.0,2,1,3.0,3
39,36.0,36.0,0.0,3,1,3.0,3
40,30.3,30.300000000000004,1.262177448353619e-29,3,2,3.0,3
41,40.5,40.5,0.0,2,0,3.0,3
42,37.7,37.699999999999996,5.048709793414476e-29,3,3,3.0,3
43,37.2,37.199999999999996,5.048709793414476e-29,2,2,3.0,3
44,40.8,40.800000000000004,5.048709793414476e-29,3,3,3.0,3
45,30.0,30.0,0.0,2,2,3.0,3
46,35.0,35.0,0.0,3,2,3.0,3
47,38.5,38.5,0.0,2,1,3.0,3
48,36.2,36.199999999999996,5.048709793414476e-29,3,2,3.0,3
49,38.7,38.699999999999996,5.048709793414476e-29,2,1,3.0,3
