gen,best_fitness,mean_fitness,std_fitness,total_cross,total_mut,mean_size,size_best_individual
0,0.6,0.06,0.0324,0,0,3.2,3
1,20.2,2.1,36.45800000000001,2,0,2.7,2
2,18.8,2.0399999999999996,31.246400000000012,3,1,2.5,2
3,20.6,4.480000000000001,65.01760000000002,2,1,2.7,2
4,30.3,12.28,216.6936,3,1,2.2,2
5,20.2,10.1,102.00999999999999,2,2,2.0,2
6,23.5,11.75,138.0625,3,1,2.0,2
7,21.8,8.72,114.05760000000001,2,2,2.0,2
8,15.7,7.859999999999999,61.466399999999986,3,1,2.0,2
9,25.5,7.659999999999999,136.40040000000002,2,1,2.0,2
10,21.1,8.45,106.68250000000003,2,1,2.0,2
11,35.2,22.360000000000003,130.46239999999997,2,4,2.0,2
12,35.2,11.969999999999999,214.3241,3,2,2.0,2
13,35.2,9.879999999999999,146.42159999999996,2,3,2.0,2
14,35.2,7.159999999999999,76.89839999999995,2,1,2.0,2
15,35.2,8.24,101.84640000000002,3,2,2.1,2
16,35.2,12.099999999999998,144.006,3,0,2.0,2
17,35.2,10.45,109.20249999999999,2,0,2.0,2
18,35.2,9.549999999999999,135.3765,3,1,2.0,2
19,35.2,9.23,84.09609999999999,2,1,2.0,2
20,35.2,11.48,130.4236,3,5,2.2,2
21,35.2,11.47,193.3641,3,1,2.2,2
22,35.2,13.459999999999999,270.41440000000006,3,2,2.0,2
23,35.2,9.239999999999998,124.4204,3,4,2.2,2
24,35.2,5.319999999999999,73.89959999999999,3,3,2.2,2
25,35.2,5.51,120.89090000000007,2,0,2.1,2
26,35.2,2.4400000000000004,53.09640000000002,3,1,2.2,2
27,35.2,6.09,147.74489999999997,3,3,2.1,2
28,35.2,12.42,150.8176,3,4,2.1,2
29,35.2,12.73,160.53210000000004,3,2,2.1,2
30,35.2,10.28,104.4556,3,0,2.1,2
31,35.2,9.3,128.81,3,3,2.1,2
32,35.2,8.690000000000001,74.13690000000001,3,3,2.0,2
33,35.2,10.68,110.6836,3,1,2.1,2
34,35.2,12.37,152.0301,3,1,2.0,2
35,35.2,7.789999999999997,140.56089999999995,3,3,2.1,2
36,35.2,7.38,79.5096,3,2,2.0,2
37,35.2,5.170000000000001,103.33410000000003,3,1,2.0,2
38,35.2,2.13,40.408100000000005,3,1,2.0,2
39,35.2,0.05,0.002500000000000001,3,1,2.0,2
40,35.2,0.0,0.0,3,0,2.0,2
41,35.2,0.01,0.0008999999999999995,3,3,2.1,2
42,35.2,0.05,0.006500000000000003,3,2,2.2,2
43,35.2,0.0,0.0,2,2,2.0,2
44,35.2,0.0,0.0,3,1,2.0,2
45,35.2,0.0,0.0,2,1,2.0,2
46,35.2,0.01,0.0008999999999999995,3,2,2.1,2
47,35.2,0.0,0.0,3,0,2.0,2
48,35.2,0.0,0.0,3,2,2.1,2
49,35.2,0.02,0.0015999999999999996,3,1,2.3,2
