gen,best_fitness,mean_fitness,std_fitness,total_cross,total_mut,mean_size,size_best_individual
0,31.3,3.2,87.77800000000002,0,0,3.4,3
1,34.2,10.309999999999999,231.03490000000002,3,2,3.6,3
2,41.9,4.950000000000001,153.17850000000004,3,1,2.2,3
3,29.0,6.510000000000001,127.17490000000005,2,1,2.4,3
4,32.5,13.299999999999997,246.342,3,2,2.5,3
5,32.2,19.35,247.69050000000007,3,3,2.7,3
6,32.5,26.0,169.0,3,1,2.8,3
7,36.1,36.10000000000001,5.048709793414476e-29,2,1,3.0,3
8,35.5,35.5,0.0,3,2,3.0,3
9,28.4,28.4,0.0,3,2,3.0,3
10,28.6,28.6,0.0,2,3,3.0,3
11,41.6,41.60000000000001,5.048709793414476e-29,3,2,3.0,3
12,34.4,34.39999999999999,5.048709793414476e-29,2,1,3.0,3
13,35.7,35.699999999999996,5.048709793414476e-29,3,3,3.0,3
14,32.8,32.800000000000004,5.048709793414476e-29,2,2,3.0,3
15,29.8,29.800000000000004,1.262177448353619e-29,3,3,3.0,3
16,30.5,30.5,0.0,3,0,3.0,3
17,36.6,36.60000000000001,5.048709793414476e-29,3,2,3.0,3
18,33.5,33.5,0.0,3,1,3.0,3
19,34.1,34.10000000000001,5.048709793414476e-29,3,2,3.0,3
20,32.6,32.60000000000001,5.048709793414476e-29,3,0,3.0,3
21,32.4,32.39999999999999,5.048709793414476e-29,2,2,3.0,3
22,32.0,32.0,0.0,3,2,3.0,3
23,24.1,24.099999999999998,1.262177448353619e-29,3,1,3.0,3
24,34.7,34.699999999999996,5.048709793414476e-29,3,2,3.0,3
25,35.8,35.800000000000004,5.048709793414476e-29,3,1,3.0,3
26,26.6,26.6,0.0,3,4,3.0,3
27,31.3,31.300000000000004,1.262177448353619e-29,3,4,3.0,3
28,34.9,34.89999999999999,5.048709793414476e-29,2,0,3.0,3
29,26.0,26.0,0.0,3,1,3.0,3
30,29.2,29.199999999999996,1.262177448353619e-29,3,0,3.0,3
31,41.6,41.60000000000001,5.048709793414476e-29,2,1,3.0,3
32,28.0,28.0,0.0,3,2,3.0,3
33,31.9,31.9,0.0,2,0,3.0,3
34,28.0,28.0,0.0,3,2,3.0,3
35,29.8,29.800000000000004,1.262177448353619e-29,3,2,3.0,3
36,37.1,37.10000000000001,5.048709793414476e-29,2,1,3.0,3
37,32.3,32.300000000000004,5.048709793414476e-29,3,4,3.0,3
38,30.1,30.1,0.0,3,3,3.0,3
39,39.9,39.89999999999999,5.048709793414476e-29,3,0,3.0,3
40,29.6,29.6,0.0,3,1,3.0,3
41,29.7,29.699999999999996,1.262177448353619e-29,3,1,3.0,3
42,38.3,38.300000000000004,5.048709793414476e-29,4,4,3.0,3
43,31.2,31.199999999999996,1.262177448353619e-29,3,1,3.0,3
44,33.2,33.199999999999996,5.048709793414476e-29,3,3,3.0,3
45,30.4,30.4,0.0,3,2,3.0,3
46,30.2,30.199999999999996,1.262177448353619e-29,3,5,3.0,3
47,39.4,39.39999999999999,5.048709793414476e-29,3,1,3.0,3
48,33.7,33.699999999999996,5.048709793414476e-29,3,2,3.0,3
49,28.0,28.0,0.0,2,0,3.0,3
